cve_ent_mun,fecha,confirmados,decesos,pruebas,indice_vulnerabilidad
12021,12/4/2020,0,0,0,vulnerabilidad media
12022,12/4/2020,0,0,0,vulnerabilidad alta
12023,12/4/2020,0,0,0,vulnerabilidad media
12024,12/4/2020,0,0,0,vulnerabilidad media
12025,12/4/2020,0,0,0,vulnerabilidad media
12026,12/4/2020,0,0,0,vulnerabilidad alta
12027,12/4/2020,0,0,1,vulnerabilidad alta
12028,12/4/2020,0,0,3,vulnerabilidad media
12029,12/4/2020,19,2,54,vulnerabilidad media
12030,12/4/2020,0,0,1,vulnerabilidad media
12031,12/4/2020,0,0,0,vulnerabilidad alta
12032,12/4/2020,0,0,0,vulnerabilidad media
12033,12/4/2020,1,1,2,vulnerabilidad baja
12034,12/4/2020,0,0,1,vulnerabilidad media
12035,12/4/2020,1,0,21,vulnerabilidad media
12036,12/4/2020,0,0,0,vulnerabilidad media
12037,12/4/2020,0,0,0,vulnerabilidad media
12038,12/4/2020,0,1,12,vulnerabilidad baja
12039,12/4/2020,0,0,1,vulnerabilidad media
12040,12/4/2020,0,0,0,vulnerabilidad baja
12041,12/4/2020,0,0,0,vulnerabilidad media
12042,12/4/2020,0,0,0,vulnerabilidad media
12043,12/4/2020,0,0,1,vulnerabilidad media
12044,12/4/2020,0,0,0,vulnerabilidad baja
12045,12/4/2020,0,0,0,vulnerabilidad media
12046,12/4/2020,0,0,6,vulnerabilidad media
12047,12/4/2020,0,0,0,vulnerabilidad media
12048,12/4/2020,0,0,4,vulnerabilidad baja
12049,12/4/2020,0,0,0,vulnerabilidad baja
12050,12/4/2020,0,0,2,vulnerabilidad muy alta
12051,12/4/2020,1,0,1,vulnerabilidad media
12052,12/4/2020,0,0,1,vulnerabilidad media
12053,12/4/2020,1,0,7,vulnerabilidad media
12054,12/4/2020,0,0,0,vulnerabilidad alta
12055,12/4/2020,3,0,21,vulnerabilidad media
12056,12/4/2020,0,0,0,vulnerabilidad media
12057,12/4/2020,0,0,2,vulnerabilidad baja
12058,12/4/2020,0,0,0,vulnerabilidad media
12059,12/4/2020,0,0,5,vulnerabilidad media
12060,12/4/2020,0,0,0,vulnerabilidad media
12061,12/4/2020,2,0,5,vulnerabilidad media
12062,12/4/2020,0,0,0,vulnerabilidad alta
12063,12/4/2020,0,0,0,vulnerabilidad media
12064,12/4/2020,0,0,0,vulnerabilidad media
12065,12/4/2020,0,0,1,vulnerabilidad media
12066,12/4/2020,0,0,13,vulnerabilidad media
12067,12/4/2020,0,0,0,vulnerabilidad alta
12068,12/4/2020,0,0,1,vulnerabilidad alta
12069,12/4/2020,0,0,0,vulnerabilidad media
12070,12/4/2020,2,0,4,vulnerabilidad media
12071,12/4/2020,0,0,1,vulnerabilidad media
12072,12/4/2020,0,0,0,vulnerabilidad media
12073,12/4/2020,0,0,2,vulnerabilidad alta
12074,12/4/2020,0,0,0,vulnerabilidad media
12075,12/4/2020,0,0,2,vulnerabilidad media
12076,12/4/2020,0,0,0,vulnerabilidad media
12077,12/4/2020,0,0,0,vulnerabilidad media
12078,12/4/2020,0,0,0,vulnerabilidad media
12079,12/4/2020,0,0,0,vulnerabilidad media
12080,12/4/2020,0,0,0,vulnerabilidad alta
12081,12/4/2020,0,0,0,vulnerabilidad media
13001,12/4/2020,0,0,0,vulnerabilidad media
13002,12/4/2020,0,0,2,vulnerabilidad alta
13003,12/4/2020,1,1,10,vulnerabilidad baja
13004,12/4/2020,0,0,0,vulnerabilidad alta
13005,12/4/2020,0,0,0,sin vulnerabilidad
13006,12/4/2020,0,0,1,vulnerabilidad media
13007,12/4/2020,0,0,0,vulnerabilidad baja
13008,12/4/2020,0,0,6,vulnerabilidad baja
13009,12/4/2020,0,0,1,sin vulnerabilidad
13010,12/4/2020,0,0,2,vulnerabilidad baja
13011,12/4/2020,0,0,0,vulnerabilidad media
13012,12/4/2020,0,0,1,sin vulnerabilidad
13013,12/4/2020,1,0,6,vulnerabilidad media
13014,12/4/2020,0,0,0,vulnerabilidad baja
13015,12/4/2020,0,0,2,vulnerabilidad baja
13016,12/4/2020,0,0,2,vulnerabilidad baja
13017,12/4/2020,0,0,1,vulnerabilidad baja
13018,12/4/2020,0,0,0,vulnerabilidad baja
13019,12/4/2020,1,0,1,vulnerabilidad media
13020,12/4/2020,0,0,0,vulnerabilidad baja
13021,12/4/2020,4,1,5,vulnerabilidad baja
13022,12/4/2020,1,0,3,sin vulnerabilidad
13023,12/4/2020,1,0,3,vulnerabilidad media
13024,12/4/2020,1,0,1,vulnerabilidad baja
13025,12/4/2020,0,0,0,vulnerabilidad media
13026,12/4/2020,0,0,0,vulnerabilidad media
13027,12/4/2020,0,0,1,vulnerabilidad media
13028,12/4/2020,1,0,9,vulnerabilidad media
13029,12/4/2020,0,1,2,sin vulnerabilidad
13030,12/4/2020,0,1,8,vulnerabilidad media
13031,12/4/2020,0,0,0,vulnerabilidad baja
13032,12/4/2020,0,0,0,vulnerabilidad media
13033,12/4/2020,0,0,0,sin vulnerabilidad
13034,12/4/2020,0,0,0,vulnerabilidad media
13035,12/4/2020,0,0,2,vulnerabilidad baja
13036,12/4/2020,0,0,1,vulnerabilidad media
13037,12/4/2020,0,0,0,vulnerabilidad media
13038,12/4/2020,0,0,1,vulnerabilidad media
13039,12/4/2020,1,0,2,vulnerabilidad baja
13040,12/4/2020,0,0,1,vulnerabilidad media
13041,12/4/2020,0,0,5,vulnerabilidad media
13042,12/4/2020,0,0,1,vulnerabilidad baja
13043,12/4/2020,0,0,1,vulnerabilidad media
13044,12/4/2020,0,0,0,vulnerabilidad baja
13045,12/4/2020,0,0,1,vulnerabilidad baja
13046,12/4/2020,0,0,0,vulnerabilidad media
13047,12/4/2020,0,0,0,vulnerabilidad media
13048,12/4/2020,22,8,153,vulnerabilidad media
13049,12/4/2020,0,0,2,vulnerabilidad media
13050,12/4/2020,0,0,2,vulnerabilidad baja
13051,12/4/2020,8,2,54,vulnerabilidad media
13052,12/4/2020,2,1,3,vulnerabilidad baja
13053,12/4/2020,0,0,1,vulnerabilidad media
13054,12/4/2020,0,0,2,sin vulnerabilidad
13055,12/4/2020,1,0,1,vulnerabilidad baja
13056,12/4/2020,0,0,6,vulnerabilidad media
13057,12/4/2020,0,0,0,vulnerabilidad baja
13058,12/4/2020,0,0,0,vulnerabilidad media
13059,12/4/2020,0,0,4,vulnerabilidad media
13060,12/4/2020,0,0,2,vulnerabilidad baja
13061,12/4/2020,0,0,15,vulnerabilidad baja
13062,12/4/2020,0,0,2,vulnerabilidad media
13063,12/4/2020,1,0,7,sin vulnerabilidad
13064,12/4/2020,0,0,2,vulnerabilidad baja
13065,12/4/2020,0,0,2,sin vulnerabilidad
13066,12/4/2020,0,0,1,vulnerabilidad baja
13067,12/4/2020,1,0,3,vulnerabilidad alta
13068,12/4/2020,0,0,1,vulnerabilidad media
13069,12/4/2020,5,0,38,vulnerabilidad media
13070,12/4/2020,0,0,2,vulnerabilidad media
